CURR_AGE,new_income,GENDER_M,age_cat_2,age_cat_3,age_cat_4,pred
54,2471013,True,False,True,False,1
47,2910584,True,False,True,False,1
60,1615035,True,False,False,True,1
55,1917883,False,False,False,True,1
32,1297516,False,False,False,False,1
48,1823589,False,True,False,False,1
26,1866018,False,True,False,False,1
45,2569062,False,False,True,False,1
55,2991461,True,False,False,True,1
64,541434,False,False,True,False,1
53,947524,True,False,False,False,1
44,2086683,False,False,False,True,1
59,1256297,False,False,False,False,0
27,1690456,False,False,False,False,0
57,2465828,False,False,False,False,1
40,2700980,False,False,False,True,1
33,1161036,True,False,False,False,1
57,1342811,False,False,False,False,1
59,1721783,False,False,False,False,0
42,1821623,False,False,False,True,1
40,2770269,True,False,True,False,1
63,1346639,True,False,False,True,1
47,2488531,False,False,True,False,1
28,1365939,False,True,False,False,1
55,3237305,False,False,False,False,1
40,1743353,False,False,False,False,1
44,2313454,False,False,True,False,1
64,593997,True,False,True,False,1
44,2128609,False,False,False,False,1
43,2375639,False,False,False,False,1
39,2394284,True,False,False,True,1
29,1978080,False,False,False,False,1
63,1492812,True,False,False,False,1
51,1869709,True,False,True,False,1
33,1536184,False,False,True,False,1
45,1527513,False,False,False,False,1
58,3133837,True,True,False,False,1
35,1751731,True,False,False,True,1
63,1582760,False,False,False,True,1
62,1589264,False,False,False,True,1
61,2475671,False,True,False,False,1
54,1481717,True,True,False,False,1
47,1743025,True,False,True,False,1
56,1523910,False,False,False,False,1
33,1219776,False,True,False,False,1
59,1287148,False,False,False,False,0
52,3329734,False,False,False,False,1
43,2438448,False,False,True,False,1
27,1578015,False,False,False,False,0
40,2105683,True,False,True,False,1
62,2900620,False,False,False,True,1
55,917163,True,False,False,True,1
56,2956876,False,False,False,False,1
62,2761858,False,False,False,False,1
54,2491681,False,True,False,False,1
62,2793551,False,False,True,False,1
60,2224690,True,True,False,False,1
38,2539954,False,False,False,False,1
58,3158176,True,False,True,False,1
59,3200687,True,True,False,False,1
58,1984159,True,False,False,False,1
36,1776391,False,False,False,False,1
29,1697772,True,False,True,False,1
50,2880365,True,True,False,False,1
65,1391566,False,True,False,False,1
49,2563808,False,True,False,False,1
25,1784369,False,False,False,True,1
64,3239994,False,True,False,False,1
56,3023469,True,False,False,False,1
48,2788596,True,True,False,False,1
53,1086884,True,False,True,False,1
35,1375361,True,False,True,False,1
60,854676,False,True,False,False,1
53,1598055,True,False,True,False,1
58,1857434,False,True,False,False,1
48,2908150,True,False,False,False,1
46,2464053,True,False,False,True,1
65,1153422,False,False,False,False,1
56,927522,True,True,False,False,1
39,2738313,True,True,False,False,1
47,2286374,True,True,False,False,1
49,1432844,False,False,True,False,1
33,2167053,True,False,True,False,1
28,1245409,False,False,False,False,0
60,1906618,True,False,False,False,1
50,2504258,True,False,True,False,1
45,2398815,False,False,True,False,1
60,2209470,False,True,False,False,1
50,2696371,False,False,False,True,1
36,3085160,True,False,False,True,1
46,2719141,False,False,True,False,1
28,2115306,True,True,False,False,1
37,1461601,False,False,True,False,1
29,1752800,False,False,False,False,1
54,3036291,False,True,False,False,1
50,2567514,False,False,True,False,1
51,1773936,False,True,False,False,1
42,1747983,False,False,True,False,1
37,1640902,False,False,False,True,1
46,2361814,False,True,False,False,1
30,2367216,True,False,False,True,1
42,2006547,False,False,True,False,1
34,1331605,True,True,False,False,1
55,1524004,False,False,False,False,1
40,1556685,False,False,False,False,1
47,2055040,True,False,False,False,1
50,1548166,False,True,False,False,1
25,2562076,True,False,True,False,1
28,1119115,False,False,False,True,1
60,1069209,True,False,False,True,1
41,2390000,False,False,False,False,1
29,2589796,True,False,False,False,1
55,1872257,False,False,False,False,1
46,1802741,False,False,True,False,1
60,3084784,True,True,False,False,1
61,3255929,False,False,True,False,1
52,1469095,False,True,False,False,1
56,2140860,False,False,False,True,1
54,1162990,True,False,False,True,1
35,1106855,True,False,False,False,1
47,2994936,True,False,True,False,1
54,1573714,False,True,False,False,1
48,1876567,False,False,False,True,1
62,2029451,False,False,False,False,1
25,1075125,True,True,False,False,1
47,3052964,True,False,False,False,1
63,2880262,True,False,False,False,1
35,1213170,True,True,False,False,1
59,2799506,True,True,False,False,1
52,934628,True,False,False,False,1
62,980746,False,True,False,False,1
46,2050543,False,True,False,False,1
38,2585061,True,True,False,False,1
62,2409595,True,False,False,True,1
29,1938209,False,True,False,False,1
47,2151425,False,False,False,False,1
34,2041395,False,True,False,False,1
64,2596572,False,False,False,False,1
34,2501266,True,False,False,True,1
26,1993527,False,False,False,True,1
50,2998573,True,False,True,False,1
50,1460690,False,False,False,True,1
32,1262693,True,True,False,False,1
61,1339296,True,False,False,True,1
54,2687571,False,False,False,False,1
60,3455872,False,False,False,False,0
31,1715307,False,False,False,False,1
41,2655919,False,False,False,False,1
45,3203039,True,False,False,True,1
53,3207658,True,True,False,False,1
55,686747,False,True,False,False,0
63,1674547,False,False,False,True,1
52,2245949,True,False,True,False,1
29,1839378,True,False,False,True,1
41,2388052,False,True,False,False,1
33,1153760,True,True,False,False,1
37,1507434,False,True,False,False,1
64,828685,False,False,False,True,1
53,1634184,False,False,True,False,1
53,2756111,False,False,True,False,1
48,2230732,False,False,False,True,1
47,1953302,True,False,True,False,1
54,1468004,True,True,False,False,1
44,2294317,False,False,False,True,1
46,3174418,True,False,True,False,1
47,1430667,True,True,False,False,1
53,1873022,False,False,False,True,1
43,1689553,False,True,False,False,1
45,1672011,False,False,True,False,1
36,2690074,True,False,True,False,1
65,2987655,False,False,True,False,1
41,1607018,False,False,True,False,1
64,3084373,True,True,False,False,1
50,2979593,True,False,False,True,1
29,2580384,True,False,True,False,1
51,1547166,False,True,False,False,1
34,1157753,True,True,False,False,1
36,2307954,False,False,False,False,1
51,3346719,True,False,False,False,1
63,1022858,True,False,False,False,1
63,3181690,True,False,False,True,1
43,2119596,False,False,False,False,1
43,2133142,True,False,True,False,1
65,2524293,True,True,False,False,1
59,3261780,True,False,False,False,1
28,1329392,False,False,False,False,0
57,2888258,False,False,False,False,1
27,1390668,False,False,False,False,0
29,1962887,True,True,False,False,1
51,1234699,False,True,False,False,1
29,1397864,True,True,False,False,1
33,926387,False,False,True,False,1
41,2401712,False,False,False,True,1
42,1782453,True,True,False,False,1
59,3440973,False,False,True,False,1
63,3273107,False,True,False,False,1
25,1212719,True,False,True,False,1
41,1516657,True,True,False,False,1
41,2286818,False,True,False,False,1
62,1176182,True,False,True,False,1
34,2550825,True,True,False,False,1
38,1654070,False,False,False,False,1
25,1305980,True,False,False,True,1
61,2246384,True,False,True,False,1
54,825724,False,False,True,False,1
35,1684808,False,False,False,False,1
54,990916,True,False,False,False,1
26,1881920,False,False,False,False,0
39,2866413,True,False,False,False,1
64,3062194,False,False,False,False,1
26,1473769,True,False,True,False,1
41,2104249,False,False,True,False,1
33,1742678,True,True,False,False,1
62,761308,False,False,False,True,1
49,2053389,False,False,False,False,1
29,2354968,True,True,False,False,1
41,2422127,False,False,True,False,1
50,3203074,True,False,False,True,1
26,966906,False,True,False,False,1
59,1037318,False,False,False,False,0
64,1160138,True,False,False,False,1
26,1806399,True,True,False,False,1
63,1301095,False,False,False,False,1
42,2869960,True,True,False,False,1
65,995444,True,False,True,False,1
65,1567919,False,False,False,False,1
46,1528012,False,False,False,True,1
52,718546,True,False,True,False,1
28,1620571,False,False,False,False,0
43,2567150,True,False,False,True,1
42,2094352,False,False,False,False,1
