ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE,new_income,age_cat
00001Q15YJ,50,M,"445,344",439,0,445344,3
00003I71CQ,35,M,"107,634",283,0,107634,2
00003N47FS,59,F,"502,787",390,1,502787,3
00005H41DE,43,M,"585,664",475,0,585664,3
00007E17UM,39,F,"705,723",497,1,705723,3
00007I26OR,28,F,"389,995",443,1,389995,3
00015B11UO,54,M,"85,056",425,0,85056,3
00020K99TA,28,F,"453,584",173,0,453584,1
00020W72QC,25,F,"324,575",300,0,324575,2
00022F48XA,47,M,"363,206",474,1,363206,3
00026X43XZ,61,M,"292,983",210,0,292983,2
00031Q27QZ,33,F,"438,941",100,1,438941,1
00032B38ZX,50,M,"478,445",329,1,478445,2
00033C02IM,25,M,"277,729",430,1,277729,3
00034P01OK,45,M,"385,604",492,1,385604,3
00038B31VO,51,F,"159,413",585,1,159413,4
00039X03RX,25,M,"227,439",23,0,227439,1
00040B49KN,43,M,"572,440",356,0,572440,2
00040O73KD,35,M,"240,251",536,1,240251,4
00045U73GK,58,F,"205,192",876,1,205192,4
00049M22HG,35,M,"108,590",400,0,108590,3
00052E59WH,53,F,"436,709",510,1,436709,4
00056R56IH,53,F,"370,768",96,0,370768,1
00057N31MO,30,F,"396,397",285,1,396397,2
00059Q04KC,49,F,"458,992",265,0,458992,2
00061K54RB,43,M,"485,917",273,1,485917,2
00062R49DY,37,M,"361,216",243,0,361216,2
00067S81IY,26,F,"341,240",377,0,341240,3
00069Q75MB,35,F,"277,725",106,0,277725,1
00069R58QN,51,M,"607,229",485,0,607229,3
00070L09VD,40,M,"328,247",336,0,328247,2
00073G60ML,64,F,"358,005",426,1,358005,3
00074E80ZM,59,M,"450,981",258,1,450981,2
00078B50YA,34,F,"216,371",231,0,216371,2
00083A72KE,50,F,"730,685",406,1,730685,3
00085N14CA,34,M,"146,852",357,0,146852,2
00086Y65GU,65,F,"420,083",666,0,420083,4
00088T31UB,51,F,"131,949",783,1,131949,4
00090Q78CZ,62,F,"136,267",390,0,136267,3
00091B82ZO,65,F,"409,160",228,1,409160,2
00093J67SK,52,M,"256,962",139,0,256962,1
00095Q17AL,25,F,"365,515",236,0,365515,2
00099K86CW,62,M,"682,251",344,0,682251,2
00101P10AC,47,M,"184,303",385,1,184303,3
00104R23KJ,41,F,"366,200",370,1,366200,3
00105P34KP,39,M,"793,683",943,1,793683,4
00105Z55XB,28,F,"134,835",313,0,134835,2
00107Y54OB,27,M,"192,229",805,1,192229,4
00108X61TB,29,M,"218,007",431,1,218007,3
00111A34ML,42,M,"442,952",213,0,442952,2
00113N53ZL,59,M,"669,568",276,1,669568,2
00115C31GT,25,F,"387,785",477,1,387785,3
00118J08EC,47,F,"275,520",304,0,275520,2
00122X31AB,58,F,"401,832",225,0,401832,2
00124L11WJ,50,M,"576,933",132,1,576933,1
00126P38RZ,59,M,"396,243",95,1,396243,1
00127P24GO,37,M,"234,791",277,1,234791,2
00129H75QI,58,F,"311,133",430,1,311133,3
00130C94GP,33,M,"296,322",220,0,296322,2
00137X41CD,49,M,"363,144",388,1,363144,3
00139F51QE,46,M,"315,221",263,1,315221,2
00140V89YT,36,M,"779,277",489,1,779277,3
00141I56XV,40,F,"292,216",205,0,292216,2
00142J61TJ,37,F,"453,501",95,0,453501,1
00149E58QC,40,M,"197,281",436,1,197281,3
00149V45IO,27,M,"248,446",640,1,248446,4
00152W66MO,36,F,"419,744",93,0,419744,1
00163W34YW,52,F,"380,120",407,1,380120,3
00166U36NR,26,F,"146,413",202,0,146413,2
00172I72UL,61,M,"529,399",850,1,529399,4
00173Q33YX,60,F,"150,611",315,1,150611,2
00174P76OQ,59,M,"737,673",525,1,737673,4
00177D07HX,61,F,"366,653",748,0,366653,4
00184X69JT,42,M,"397,493",241,1,397493,2
00186P04PT,33,M,"292,406",323,0,292406,2
00187N85DF,63,F,"331,237",433,1,331237,3
00188E43DF,60,M,"240,020",258,1,240020,2
00189M02HG,64,M,"121,018",311,0,121018,2
00191S39KZ,46,M,"373,478",367,1,373478,3
00195G41IU,32,F,"384,016",272,1,384016,2
00195P25IN,30,F,"213,547",230,0,213547,2
00195Q10ZP,35,M,"257,308",40,0,257308,1
00197O44XP,34,M,"282,501",823,1,282501,4
00198D05HX,51,F,"252,155",240,0,252155,2
00198H12HX,57,M,"480,760",899,1,480760,4
00198H71BB,26,M,"132,599",436,0,132599,3
00201E56ZV,64,F,"153,181",275,0,153181,2
00202X22MN,53,F,"431,624",296,0,431624,2
00205O79UQ,38,M,"498,894",296,1,498894,2
00209O01CF,65,F,"97,627",468,1,97627,3
00213H22RL,37,M,"324,297",301,1,324297,2
00214G18BG,49,F,"547,755",296,1,547755,2
00214H08FS,31,F,"405,807",353,0,405807,2
00218H09KC,65,F,"159,648",830,1,159648,4
00218V46WS,62,F,"105,133",311,0,105133,2
00221E71ZX,49,M,"298,254",266,1,298254,2
00222P84OU,36,F,"282,392",462,1,282392,3
00223L77HZ,63,M,"414,729",595,1,414729,4
00226J79YI,59,M,"412,753",198,0,412753,1
00227R80JC,47,M,"398,253",327,1,398253,2
00228R68ZE,43,F,"525,024",479,1,525024,3
00228Z35MR,43,M,"405,642",201,0,405642,2
00230U63RP,54,F,"92,864",78,1,92864,1
00232B56RM,55,F,"308,715",317,0,308715,2
00237O77NS,31,F,"357,850",480,1,357850,3
00250P24JI,45,M,"352,042",94,1,352042,1
00251B45QQ,62,F,"407,427",373,0,407427,3
00251D05TO,30,M,"298,431",496,1,298431,3
00255A68BB,29,M,"159,186",302,1,159186,2
00257F20SW,34,F,"448,273",87,0,448273,1
00260M66JI,25,F,"344,519",450,0,344519,3
00261M80HZ,62,M,"293,809",269,0,293809,2
00263W23XQ,58,M,"521,180",624,1,521180,4
00264J96QC,29,F,"193,331",274,0,193331,2
00273F04YP,63,M,"491,967",370,1,491967,3
00277V91XO,63,M,"364,455",319,1,364455,2
00279E12YC,33,F,"329,426",224,0,329426,2
00281H13IL,32,M,"137,376",262,0,137376,2
00282H90KM,46,M,"623,584",348,1,623584,2
00283Q67LW,33,F,"440,311",286,0,440311,2
00283R71ZE,44,F,"327,656",271,0,327656,2
00284C65GH,30,F,"286,077",358,1,286077,2
00289N46JG,40,M,"156,705",145,0,156705,1
00299I24KW,42,M,"547,376",722,1,547376,4
00302F94QD,50,F,"418,992",37,0,418992,1
00302J37VM,40,F,"410,179",33,0,410179,1
00309P39HF,60,M,"245,295",269,0,245295,2
00310Q42MZ,33,M,"130,517",322,0,130517,2
00315I46PY,62,F,"502,571",253,1,502571,2
00318K61KI,61,F,"231,939",505,1,231939,4
00319G52KN,39,F,"402,819",293,0,402819,2
00319W54HL,33,M,"126,085",65,1,126085,1
00327I16CN,34,F,"300,107",280,0,300107,2
00332G98OD,52,M,"548,641",263,0,548641,2
00333G45BT,55,F,"452,491",414,1,452491,3
00335D45ZO,38,M,"250,767",81,0,250767,1
00336T66SQ,61,M,"739,615",490,1,739615,3
00342X44FK,50,M,"410,704",312,0,410704,2
00345D80KY,56,F,"460,232",454,1,460232,3
00349F03KO,42,M,"383,210",323,0,383210,2
00352T67FO,50,F,"428,269",359,0,428269,2
00361H11UT,26,M,"201,025",204,1,201025,2
00364V23LI,50,M,"703,957",224,1,703957,2
00365W93ZJ,47,M,"448,851",442,0,448851,3
00367J12EU,49,M,"313,491",319,0,313491,2
00370E34LE,51,F,"460,696",613,1,460696,4
00373G59CP,34,M,"212,101",20,0,212101,1
00375D60YS,39,F,"403,288",267,1,403288,2
00376J00ZZ,36,F,"359,117",380,1,359117,3
00379Z36SA,30,M,"206,429",265,0,206429,2
00382V59DF,31,M,"171,595",462,1,171595,3
00383N03UQ,39,M,"158,799",455,0,158799,3
00385Q88UV,56,M,"450,129",449,1,450129,3
00389G25SI,44,M,"594,891",848,1,594891,4
00398Y03ZM,64,M,"325,588",91,0,325588,1
00401K86FK,62,F,"423,189",546,1,423189,4
00401O09TQ,49,F,"297,603",338,0,297603,2
