,CURR_AGE,new_income,GENDER_M,age_cat_2,age_cat_3,age_cat_4,pred
0,54,2471013,True,False,True,False,1
1,47,2910584,True,False,True,False,1
2,60,1615035,True,False,False,True,1
3,55,1917883,False,False,False,True,1
4,32,1297516,False,False,False,False,1
5,48,1823589,False,True,False,False,1
6,26,1866018,False,True,False,False,1
7,45,2569062,False,False,True,False,1
8,55,2991461,True,False,False,True,1
9,64,541434,False,False,True,False,1
10,53,947524,True,False,False,False,1
11,44,2086683,False,False,False,True,1
12,59,1256297,False,False,False,False,0
13,27,1690456,False,False,False,False,0
14,57,2465828,False,False,False,False,1
15,40,2700980,False,False,False,True,1
16,33,1161036,True,False,False,False,1
17,57,1342811,False,False,False,False,1
18,59,1721783,False,False,False,False,0
19,42,1821623,False,False,False,True,1
20,40,2770269,True,False,True,False,1
21,63,1346639,True,False,False,True,1
22,47,2488531,False,False,True,False,1
23,28,1365939,False,True,False,False,1
24,55,3237305,False,False,False,False,1
25,40,1743353,False,False,False,False,1
26,44,2313454,False,False,True,False,1
27,64,593997,True,False,True,False,1
28,44,2128609,False,False,False,False,1
29,43,2375639,False,False,False,False,1
30,39,2394284,True,False,False,True,1
31,29,1978080,False,False,False,False,1
32,63,1492812,True,False,False,False,1
33,51,1869709,True,False,True,False,1
34,33,1536184,False,False,True,False,1
35,45,1527513,False,False,False,False,1
36,58,3133837,True,True,False,False,1
37,35,1751731,True,False,False,True,1
38,63,1582760,False,False,False,True,1
39,62,1589264,False,False,False,True,1
40,61,2475671,False,True,False,False,1
41,54,1481717,True,True,False,False,1
42,47,1743025,True,False,True,False,1
43,56,1523910,False,False,False,False,1
44,33,1219776,False,True,False,False,1
45,59,1287148,False,False,False,False,0
46,52,3329734,False,False,False,False,1
47,43,2438448,False,False,True,False,1
48,27,1578015,False,False,False,False,0
49,40,2105683,True,False,True,False,1
50,62,2900620,False,False,False,True,1
51,55,917163,True,False,False,True,1
52,56,2956876,False,False,False,False,1
53,62,2761858,False,False,False,False,1
54,54,2491681,False,True,False,False,1
55,62,2793551,False,False,True,False,1
56,60,2224690,True,True,False,False,1
57,38,2539954,False,False,False,False,1
58,58,3158176,True,False,True,False,1
59,59,3200687,True,True,False,False,1
60,58,1984159,True,False,False,False,1
61,36,1776391,False,False,False,False,1
62,29,1697772,True,False,True,False,1
63,50,2880365,True,True,False,False,1
64,65,1391566,False,True,False,False,1
65,49,2563808,False,True,False,False,1
66,25,1784369,False,False,False,True,1
67,64,3239994,False,True,False,False,1
68,56,3023469,True,False,False,False,1
69,48,2788596,True,True,False,False,1
70,53,1086884,True,False,True,False,1
71,35,1375361,True,False,True,False,1
72,60,854676,False,True,False,False,1
73,53,1598055,True,False,True,False,1
74,58,1857434,False,True,False,False,1
75,48,2908150,True,False,False,False,1
76,46,2464053,True,False,False,True,1
77,65,1153422,False,False,False,False,1
78,56,927522,True,True,False,False,1
79,39,2738313,True,True,False,False,1
80,47,2286374,True,True,False,False,1
81,49,1432844,False,False,True,False,1
82,33,2167053,True,False,True,False,1
83,28,1245409,False,False,False,False,0
84,60,1906618,True,False,False,False,1
85,50,2504258,True,False,True,False,1
86,45,2398815,False,False,True,False,1
87,60,2209470,False,True,False,False,1
88,50,2696371,False,False,False,True,1
89,36,3085160,True,False,False,True,1
90,46,2719141,False,False,True,False,1
91,28,2115306,True,True,False,False,1
92,37,1461601,False,False,True,False,1
93,29,1752800,False,False,False,False,1
94,54,3036291,False,True,False,False,1
95,50,2567514,False,False,True,False,1
96,51,1773936,False,True,False,False,1
97,42,1747983,False,False,True,False,1
98,37,1640902,False,False,False,True,1
99,46,2361814,False,True,False,False,1
100,30,2367216,True,False,False,True,1
101,42,2006547,False,False,True,False,1
102,34,1331605,True,True,False,False,1
103,55,1524004,False,False,False,False,1
104,40,1556685,False,False,False,False,1
105,47,2055040,True,False,False,False,1
106,50,1548166,False,True,False,False,1
107,25,2562076,True,False,True,False,1
108,28,1119115,False,False,False,True,1
109,60,1069209,True,False,False,True,1
110,41,2390000,False,False,False,False,1
111,29,2589796,True,False,False,False,1
112,55,1872257,False,False,False,False,1
113,46,1802741,False,False,True,False,1
114,60,3084784,True,True,False,False,1
115,61,3255929,False,False,True,False,1
116,52,1469095,False,True,False,False,1
117,56,2140860,False,False,False,True,1
118,54,1162990,True,False,False,True,1
119,35,1106855,True,False,False,False,1
120,47,2994936,True,False,True,False,1
121,54,1573714,False,True,False,False,1
122,48,1876567,False,False,False,True,1
123,62,2029451,False,False,False,False,1
124,25,1075125,True,True,False,False,1
125,47,3052964,True,False,False,False,1
126,63,2880262,True,False,False,False,1
127,35,1213170,True,True,False,False,1
128,59,2799506,True,True,False,False,1
129,52,934628,True,False,False,False,1
130,62,980746,False,True,False,False,1
131,46,2050543,False,True,False,False,1
132,38,2585061,True,True,False,False,1
133,62,2409595,True,False,False,True,1
134,29,1938209,False,True,False,False,1
135,47,2151425,False,False,False,False,1
136,34,2041395,False,True,False,False,1
137,64,2596572,False,False,False,False,1
138,34,2501266,True,False,False,True,1
139,26,1993527,False,False,False,True,1
140,50,2998573,True,False,True,False,1
141,50,1460690,False,False,False,True,1
142,32,1262693,True,True,False,False,1
143,61,1339296,True,False,False,True,1
144,54,2687571,False,False,False,False,1
145,60,3455872,False,False,False,False,0
146,31,1715307,False,False,False,False,1
147,41,2655919,False,False,False,False,1
148,45,3203039,True,False,False,True,1
149,53,3207658,True,True,False,False,1
150,55,686747,False,True,False,False,0
151,63,1674547,False,False,False,True,1
152,52,2245949,True,False,True,False,1
153,29,1839378,True,False,False,True,1
154,41,2388052,False,True,False,False,1
155,33,1153760,True,True,False,False,1
156,37,1507434,False,True,False,False,1
157,64,828685,False,False,False,True,1
158,53,1634184,False,False,True,False,1
159,53,2756111,False,False,True,False,1
160,48,2230732,False,False,False,True,1
161,47,1953302,True,False,True,False,1
162,54,1468004,True,True,False,False,1
163,44,2294317,False,False,False,True,1
164,46,3174418,True,False,True,False,1
165,47,1430667,True,True,False,False,1
166,53,1873022,False,False,False,True,1
167,43,1689553,False,True,False,False,1
168,45,1672011,False,False,True,False,1
169,36,2690074,True,False,True,False,1
170,65,2987655,False,False,True,False,1
171,41,1607018,False,False,True,False,1
172,64,3084373,True,True,False,False,1
173,50,2979593,True,False,False,True,1
174,29,2580384,True,False,True,False,1
175,51,1547166,False,True,False,False,1
176,34,1157753,True,True,False,False,1
177,36,2307954,False,False,False,False,1
178,51,3346719,True,False,False,False,1
179,63,1022858,True,False,False,False,1
180,63,3181690,True,False,False,True,1
181,43,2119596,False,False,False,False,1
182,43,2133142,True,False,True,False,1
183,65,2524293,True,True,False,False,1
184,59,3261780,True,False,False,False,1
185,28,1329392,False,False,False,False,0
186,57,2888258,False,False,False,False,1
187,27,1390668,False,False,False,False,0
188,29,1962887,True,True,False,False,1
189,51,1234699,False,True,False,False,1
190,29,1397864,True,True,False,False,1
191,33,926387,False,False,True,False,1
192,41,2401712,False,False,False,True,1
193,42,1782453,True,True,False,False,1
194,59,3440973,False,False,True,False,1
195,63,3273107,False,True,False,False,1
196,25,1212719,True,False,True,False,1
197,41,1516657,True,True,False,False,1
198,41,2286818,False,True,False,False,1
199,62,1176182,True,False,True,False,1
200,34,2550825,True,True,False,False,1
201,38,1654070,False,False,False,False,1
202,25,1305980,True,False,False,True,1
203,61,2246384,True,False,True,False,1
204,54,825724,False,False,True,False,1
205,35,1684808,False,False,False,False,1
206,54,990916,True,False,False,False,1
207,26,1881920,False,False,False,False,0
208,39,2866413,True,False,False,False,1
209,64,3062194,False,False,False,False,1
210,26,1473769,True,False,True,False,1
211,41,2104249,False,False,True,False,1
212,33,1742678,True,True,False,False,1
213,62,761308,False,False,False,True,1
214,49,2053389,False,False,False,False,1
215,29,2354968,True,True,False,False,1
216,41,2422127,False,False,True,False,1
217,50,3203074,True,False,False,True,1
218,26,966906,False,True,False,False,1
219,59,1037318,False,False,False,False,0
220,64,1160138,True,False,False,False,1
221,26,1806399,True,True,False,False,1
222,63,1301095,False,False,False,False,1
223,42,2869960,True,True,False,False,1
224,65,995444,True,False,True,False,1
225,65,1567919,False,False,False,False,1
226,46,1528012,False,False,False,True,1
227,52,718546,True,False,True,False,1
228,28,1620571,False,False,False,False,0
229,43,2567150,True,False,False,True,1
230,42,2094352,False,False,False,False,1
231,37,1773789,False,True,False,False,1
232,36,1778646,False,False,False,False,1
233,41,2647976,False,False,False,True,1
234,37,3449225,True,True,False,False,1
235,39,1605128,True,False,False,False,1
236,38,2438426,False,False,True,False,1
237,54,1081514,True,False,True,False,1
238,46,2332361,True,True,False,False,1
239,46,2605247,True,True,False,False,1
240,51,2104122,True,True,False,False,1
241,54,3125700,True,True,False,False,1
242,62,1410011,False,False,True,False,1
243,35,2065908,False,False,True,False,1
244,25,934852,False,False,False,False,0
245,49,1709891,False,True,False,False,1
246,33,1451059,False,False,False,True,1
247,52,1772189,True,False,True,False,1
248,58,775093,True,True,False,False,0
249,43,1406158,True,False,True,False,1
250,57,1632064,True,False,True,False,1
251,35,2170795,True,True,False,False,1
252,41,1476222,False,False,False,False,1
253,64,1035706,True,False,True,False,1
254,46,2409728,False,False,False,False,1
255,42,2782300,True,False,False,False,1
256,29,1170227,False,True,False,False,1
257,36,2294338,False,False,True,False,1
258,53,1151456,False,False,False,True,1
259,65,1751904,True,False,False,False,1
260,56,540512,False,False,False,True,1
261,53,2993669,False,False,True,False,1
262,57,2007814,False,False,False,False,1
263,58,3452424,False,False,False,False,0
264,57,939167,True,False,True,False,1
265,52,2678312,False,False,True,False,1
266,26,1186207,False,True,False,False,1
267,38,1966742,False,True,False,False,1
268,43,2158716,True,True,False,False,1
269,48,1762039,False,False,True,False,1
270,59,2380015,True,False,False,True,1
271,56,582802,True,True,False,False,0
272,32,1582493,True,True,False,False,1
273,64,1147568,True,False,False,True,1
274,42,2360441,False,True,False,False,1
275,55,2517177,False,True,False,False,1
276,51,1860798,True,False,False,True,1
277,56,3100618,False,False,False,True,1
278,28,997267,False,True,False,False,1
279,50,1963504,False,False,False,False,1
280,52,2349710,True,False,True,False,1
281,36,1763034,False,False,False,False,1
282,54,1902179,True,False,False,False,1
283,65,3066053,True,True,False,False,1
284,52,2884059,True,False,False,True,1
285,31,1376514,True,False,True,False,1
286,42,1877938,False,True,False,False,1
287,38,1488591,True,False,False,True,1
288,55,2708375,True,False,False,False,1
289,44,3292679,True,True,False,False,1
290,62,3458982,False,False,False,False,1
291,42,2373271,False,False,False,True,1
292,37,2431432,False,False,True,False,1
293,46,3094244,True,False,False,True,1
294,31,2555644,True,False,False,False,1
295,37,2550135,False,False,False,False,1
296,38,2515743,False,True,False,False,1
297,36,2710750,False,False,True,False,1
298,62,2998225,False,False,True,False,1
299,47,1909611,True,False,False,True,1
300,65,903578,True,False,False,False,1
301,54,871299,False,False,False,True,1
302,33,1223926,True,False,False,False,1
303,38,2277394,False,False,False,True,1
304,31,1753782,True,False,True,False,1
305,33,1770088,False,False,True,False,1
306,60,621780,False,False,False,True,1
307,44,1682071,True,True,False,False,1
308,57,599675,False,False,False,False,0
309,51,3222639,False,False,False,False,1
310,44,1559542,False,False,False,False,1
311,35,2564713,True,False,False,True,1
312,50,3343185,True,False,True,False,1
313,27,2497807,True,False,True,False,1
314,48,2071640,False,False,False,True,1
315,65,2658097,False,False,False,True,1
316,46,1774751,False,True,False,False,1
317,57,2051203,True,True,False,False,1
318,55,3416041,False,False,True,False,1
319,34,2077885,False,False,True,False,1
320,25,1537280,False,False,False,True,1
321,56,1121991,False,False,False,False,1
322,35,1774760,False,False,True,False,1
323,34,1149662,False,False,False,True,1
324,34,1462135,True,False,False,False,1
325,33,2399115,True,False,False,False,1
326,65,776008,False,False,False,True,1
327,56,1730770,False,False,True,False,1
328,60,3436766,False,False,False,True,1
329,53,1608587,True,False,True,False,1
330,40,2228116,True,False,True,False,1
331,64,2618395,False,False,False,False,1
332,54,912092,False,False,False,False,1
333,64,2131820,False,False,True,False,1
334,45,1581758,True,False,False,True,1
335,44,2077240,True,False,True,False,1
336,53,3413047,True,False,False,False,1
337,64,1043521,True,True,False,False,1
338,30,1284501,False,False,True,False,1
339,61,1981760,True,False,False,False,1
340,25,1427841,False,True,False,False,1
341,38,2903601,True,False,True,False,1
342,61,2181564,True,True,False,False,1
343,63,1245600,True,False,True,False,1
344,31,1782620,False,False,False,True,1
345,43,2804960,True,True,False,False,1
346,49,1917351,False,True,False,False,1
347,37,2093236,False,False,False,False,1
348,52,1326620,True,False,True,False,1
349,29,1460992,True,True,False,False,1
350,36,2599864,True,True,False,False,1
351,33,1252258,False,False,False,False,1
352,46,1923999,True,False,False,False,1
353,35,1964150,True,True,False,False,1
354,62,3167770,False,False,True,False,1
355,28,913323,False,False,False,True,1
356,34,1267924,True,False,False,False,1
357,27,1373506,False,False,True,False,1
358,51,1578410,True,True,False,False,1
359,54,838909,False,True,False,False,1
360,52,1522088,False,False,False,False,1
361,28,1418695,True,False,False,False,1
362,40,1698938,True,False,False,False,1
363,34,1899299,True,False,False,True,1
364,58,1762689,True,False,True,False,1
365,63,1275628,True,False,False,True,1
366,51,2710716,True,False,False,False,1
367,42,2015149,False,True,False,False,1
368,57,1880636,True,False,True,False,1
369,47,1815623,True,False,False,False,1
370,44,1889387,False,True,False,False,1
371,36,2723255,True,True,False,False,1
372,46,2883990,True,False,False,True,1
373,45,2594690,False,False,True,False,1
374,46,1635450,True,False,False,False,1
375,37,2127200,False,True,False,False,1
376,64,2459511,True,False,False,True,1
377,53,1639396,False,True,False,False,1
378,61,2456496,True,False,False,False,1
379,44,2706491,True,False,True,False,1
380,62,1103043,False,False,False,False,1
381,34,1400860,False,True,False,False,1
382,44,2386152,True,True,False,False,1
383,27,1416367,True,False,True,False,1
384,46,1971364,True,False,True,False,1
385,47,1822809,True,False,False,True,1
386,63,3415644,True,False,False,True,1
387,60,3359919,False,False,False,True,1
388,55,1903807,False,False,False,False,1
389,29,1314987,False,False,True,False,1
390,32,2593487,True,False,True,False,1
391,42,1960825,True,False,True,False,1
392,57,3279048,True,False,False,True,1
393,57,818496,False,False,False,True,1
394,40,2704839,False,False,False,True,1
395,44,1558722,False,False,False,False,1
396,53,782707,True,False,False,True,1
397,35,1090601,True,True,False,False,1
398,29,1674979,False,True,False,False,1
399,63,2634770,False,False,True,False,1
400,59,1650021,True,False,True,False,1
401,62,1877943,False,False,False,False,1
402,49,2192318,False,False,False,True,1
403,46,1513615,False,False,True,False,1
404,31,2064372,True,False,True,False,1
405,64,2032673,True,False,False,False,1
406,33,1095268,True,False,False,True,1
407,34,1189864,True,True,False,False,1
408,59,1505385,True,False,True,False,1
409,29,1747737,False,False,False,True,1
410,39,2704218,False,False,False,False,1
411,40,2116696,False,False,False,True,1
412,58,3037861,False,False,False,True,1
413,41,2122113,True,True,False,False,1
414,56,1523595,False,False,True,False,1
415,65,1636620,True,True,False,False,1
416,41,2111849,True,False,True,False,1
417,31,1580331,False,False,True,False,1
418,29,2189768,True,False,True,False,1
419,49,1670960,False,False,False,True,1
420,40,2102056,True,False,False,True,1
421,50,1878458,True,False,True,False,1
422,60,1095016,True,True,False,False,1
423,27,1641528,False,False,False,True,1
424,35,2058968,True,False,False,True,1
425,47,1483145,False,False,False,False,1
426,46,1919710,True,True,False,False,1
427,59,1933872,False,False,False,False,0
428,41,1699826,False,False,False,True,1
429,56,2614941,True,False,False,False,1
430,45,2146697,False,False,False,False,1
431,57,1253089,True,False,True,False,1
432,56,1304702,True,False,False,False,1
433,40,1527502,False,True,False,False,1
434,51,1369109,False,False,False,False,1
435,29,1090010,False,False,True,False,1
436,60,2791278,False,True,False,False,1
437,55,757444,False,False,True,False,1
438,51,2380287,False,False,False,False,1
439,28,1411164,True,False,True,False,1
440,54,2415926,True,False,False,False,1
441,63,1196614,False,True,False,False,1
442,60,3322437,False,False,True,False,1
443,56,2439570,False,False,True,False,1
444,64,1146862,True,False,False,True,1
445,46,2607997,True,False,True,False,1
446,31,1638284,False,True,False,False,1
447,52,1910431,False,False,False,True,1
448,36,2511572,False,False,True,False,1
449,41,3451449,True,False,False,False,1
450,39,2650011,False,True,False,False,1
451,31,1785723,False,False,False,True,1
452,48,1933527,False,False,False,True,1
453,27,2264016,True,True,False,False,1
454,50,1711353,False,True,False,False,1
455,47,2417540,True,False,False,False,1
456,39,1582978,False,True,False,False,1
457,51,2561686,False,False,True,False,1
458,56,880856,True,False,False,True,1
459,50,3434481,True,True,False,False,1
460,25,1963570,False,False,False,False,0
461,54,2270835,False,False,False,True,1
462,29,2464173,True,False,True,False,1
463,45,1416282,False,False,True,False,1
464,26,1157385,False,False,False,True,1
465,51,2928665,True,False,False,True,1
466,26,2165371,True,False,False,False,1
467,30,1962464,False,False,False,False,1
468,53,1435970,True,False,False,False,1
469,34,1616341,False,False,True,False,1
470,51,3191802,False,True,False,False,1
